Product Name,Sales_2022,Sales_2023
absorbent socks,134598.6,152831.53
linq,129980.4,134072.83
cresent wrench 12in,114919.5,127358.17
versace watches for women,49828.8,-15141.63
mason jar light fixtures,116840.6,101931.32
16 panel dog pen,187984.4,200994.27
pants stretcher,79510.1,99496.66
blue teddy bear,67952.4,88820.73
charging cord for samsung galaxy s9,99704.6,116213.06
stitch necklace,62505.6,72290.51
marvel curtains,52249.7,43512.60
monty plush fnaf,50127.2,78573.48
3/4 guitar,269690.2,279376.57
dress with built in shorts,61175,76175.21
16x24 heat press machine,365028.6,353126.00
dragonite,161345.4,168761.68
harley davidson patches,58433.2,-4271.51
32 oz spray bottle,256572.8,255300.33
line set cover,647036.2,657772.82
hide tanning kit,328095.4,307098.03
ball drop toy,109114.6,126776.34
nutrilite,439065,443450.65
princess jasmine,191659,194607.96
pneumatic rivet gun,310664.8,318863.24
kong harness,158588.8,173119.12
planet dimple,250994.1,274566.54
mini cars,154197.3,178834.43
keto 1500 advanced weight loss shark tank,487615.6,522891.49
sight words flash cards,767729.2,758562.57
red curry paste organic,616601.8,576996.57
glitter glue,477855.9,484397.43
pore minimizer,213209.1,218166.64
captain america costume,454144.7,482993.95
travel size deodorant,393661.5,393485.70
flo,868246.5,934016.67
christopher knight outdoor furniture,1333572.4,1301062.93
suture kit,1062774.1,1078608.28
water distiller,2854636,2881656.84
warner bros.,2196938,2064761.76
bubble bath kids,2247705.8,2116497.83
wind spinner,2710706.5,2718252.34
twin bed,4990811.5,5124969.03
turbo scratcher replacement pads,72579.8,98307.65
heavy duty american flag for high winds,80599.5,102391.80
d-mannose 1000mg capsules,169585.5,183471.67
paw patrol dress,24486.3,-17240.52
dresser handles 4 inch hole to hole,141673.7,142199.18
oil painting brushes,87679.5,99176.64
coach pitch baseball bats,131594,138790.72
harmonic balancer,80193.5,61442.19
ys park combs,91343.3,98473.81
carpet kicker,252680.1,276419.69
large print calendar 2022,108139.3,125169.67
chemipure blue,293283.3,304468.53
pond skimmer,612231.6,622569.90
silver toothpaste,104801,121268.54
bladderwrack,106579,126525.88
lg phone charger,78456.5,99739.08
black curved shower rod,383145.7,395938.66
ipad 3 case,169013.4,163172.18
high calorie cat food,200228.4,211089.88
hydraulic oil,122856,150355.38
ifi,366846.6,387418.75
lactobacillus reuteri,265258,277810.15
sleep sack with feet,238118.2,207387.58
liverwurst,139165.6,142619.27
hot tub chemicals starter kit,555286.8,568388.38
camo seat covers,142883.9,149533.95
black leather gloves women,282511.6,245488.01
baby drum,204943.8,220511.42
boot waterproofing spray,295884.3,313801.00
freeze dried chicken,690854.9,686754.59
8 gauge wire,252291,278630.59
4x tshirts for men,390579.8,370844.08
my hero academia backpack,279302.6,273488.41
leaky gut repair,609933,618201.30
wire brush for drill,471881.1,464723.50
peat pots,422510.4,393659.21
captains bed,449946,453411.44
you are my sunshine,231503,255365.31
kids neck gaiter,712609.1,663995.99
bride to be,375825.1,384536.79
tassels,208728.6,226498.94
miter saw stand,1890019.5,1900617.12
dog ball with rope,954227.9,930544.32
energy gel,2625069,2665378.85
